OBJECTID,Feature Type,Feature Subtype,Feature Name,Administrative Unit Code,Administrative State,DESCRIPTION,WEB_LINK,PHOTO_TEXT,UNIT_NAME,SOURCE,WEB_DISPLAY,PHOTO_LINK,PHOTO_THUMB,GlobalID,Original_GlobalID,Latitude,Longitude,x,y
89674,4,Picnic Area,Camas-Gooding Recreation Site,IDT03000,ID,,,,,,YES,,,ac4a8c83-a6c7-47f2-8f55-e226dd63a8a3,{491AE233-DF7C-4236-A58E-EEE55F8F4A2A},43.20242447,-114.66581661,-114.665816607,43.2024244670001
89675,7,Trail Head,Jimmy Smith Lake Trailhead,IDI03000,ID,,,,,,YES,,,343cfe5e-8fc9-4857-9ca3-188ff0b68197,{4E664C51-C914-4BD2-BA04-7F18721BC934},44.16152,-114.39163,-114.391684678,44.1616518910001
89676,4,Point of Interest,Big Springs Public Access,IDI01000,ID,,,,,,YES,,,2ecb4c68-717f-472c-ab76-b4134d39e3da,{7C7D9587-4EFB-4C2C-A025-BBB9A3789C34},44.01597,-113.20388,-113.20388,44.01597
89677,3,Campsite - Primitive - Non Reservable - No Fee,Rattlesnake Point B,IDI01000,ID,,,,,,YES,,,785e1deb-c080-43bf-95dc-47b6e6f065ec,{E01CC2F7-0B46-4CD2-9E00-F5786C081659},43.60352823,-111.50439961,-111.504399606,43.603528225
89678,3,Campsite - Primitive - Non Reservable - No Fee,Hot Springs Creek Reservoir,IDB01000,ID,,,,,,YES,,,af7afb8b-8ca3-4266-8465-96e8aec127d4,{783DBA4F-62DC-471D-946D-0EA30A58E29D},43.11265449,-115.4930515,-115.493051502,43.112654494
89679,3,Campsite - Primitive - Non Reservable - No Fee,Emigrant Reservoir Dispersed Recreation Site,IDB01000,ID,,,,,,YES,,,99bb7948-90cc-44f3-a302-59205823eda1,{EE9B4213-C936-4173-9CB3-A2E35DCC43F2},43.05004,-115.28281,-115.282810001,43.0500400000001
89681,4,Point of Interest,Mountain Home Reservoir,IDB01000,ID,,,,,,YES,,,1492d0fd-414e-4eb2-a27e-715015d0a878,{DA6FF768-9AF7-49BD-91A0-913D10467B7E},43.15506129,-115.66034822,-115.66034822,43.15506129
89682,7,Staging Area,Air Force Base OHV Area,IDB01000,ID,,,,,,YES,,,afc11dc5-ad30-4d6e-9474-c7808192f781,{A39A2F91-CECA-409A-A777-877DC1A88812},43.06607,-115.94037,-115.94037,43.06607
89683,4,Point of Interest,Piss Ant Butte,IDT03100,ID,Accessbile parking to explore the Laidlaw Park kipuka.,,,Craters of the Moon National Monument,,YES,https://c1.staticflickr.com/1/524/18626238096_b86b1c460b_k.jpg,https://c1.staticflickr.com/9/8884/18031909403_bd8ecaf89f_m.jpg,a40210c3-539b-4a4f-8faa-4ba845a966e2,{28E80D18-0B8B-44CE-A66D-4745566D1F2F},43.26992935,-113.62350903,-113.623509029,43.269929351
89684,7,Trail Head,Goldbug Hot Springs Trailhead,IDI04000,ID,,,,,,YES,,,e3c0c86a-f85c-4c32-adbc-f89a3ba93ecb,{B2D9B345-78E0-46B8-8385-C8ACD083B643},44.89805017,-113.95698757,-113.956987567,44.8980501720001
