OBJECTID,Facility Type,Facility Name,Park Name,Park Region,DATA SOURCE,CREATE_DATE,DATA CREATOR EDITOR,SITEID,COMMENTS,GlobalID,x,y
1084,Restroom (Flush),Comfort Station,Placid Lake,2,HANSEN GPS DATA,8/10/2015 12:00:00 AM,HANSEN,280895,,2283871b-f2b7-43ab-ba3e-09a38155eb1b,-12635146.861674,5961495.43524167
1085,Shower,Comfort Station,Placid Lake,2,HANSEN GPS DATA,8/10/2015 12:00:00 AM,HANSEN,280895,,cdf51b6b-77a8-4b6a-a483-b7b848ab08f4,-12635140.1978342,5961491.45528902
1086,Visitor Information Kiosk,,Placid Lake,2,HANSEN GPS DATA,8/10/2015 12:00:00 AM,HANSEN,280895,,88c902da-cedc-468b-b976-2094fce13d9d,-12635142.4896856,5961514.10683194
1087,Miscellaneous Facility,Bear-proof Food Storage,Placid Lake,2,HANSEN GPS DATA,8/10/2015 12:00:00 AM,HANSEN,280895,,d8359e18-e39c-4e35-a2d7-34ce9ed3bf83,-12635130.0239272,5961522.44372862
1088,Disposal Station,,Placid Lake,2,HANSEN GPS DATA,8/10/2015 12:00:00 AM,HANSEN,280895,,d0decc57-295b-49aa-923e-8235c74a9436,-12635122.2608297,5961537.27999139
1089,Water (Potable),,Placid Lake,2,HANSEN GPS DATA,8/10/2015 12:00:00 AM,HANSEN,280895,,947f0198-9bbc-45dd-8717-dbc8455022f4,-12635158.9676982,5961578.22410305
1090,Boat Ramp,,Placid Lake,2,HANSEN GPS DATA,8/10/2015 12:00:00 AM,HANSEN,280895,,5fb783df-7dad-4153-8e82-25387f683c2b,-12635148.7688991,5961420.44251017
1091,Boat Slip,Rental Fee,Placid Lake,2,HANSEN GPS DATA,8/10/2015 12:00:00 AM,HANSEN,280895,,4874f278-6290-433f-9311-65cc5bd29774,-12635164.2223814,5961397.59278478
1092,Fee Collection Station,,Placid Lake,2,HANSEN GPS DATA,8/10/2015 12:00:00 AM,HANSEN,280895,,604cc332-dfdc-4975-a57f-f25f1ed393ea,-12635129.7682659,5961414.06157907
1093,Boat Slip,Rental Fee,Placid Lake,2,HANSEN GPS DATA,8/10/2015 12:00:00 AM,HANSEN,280895,,6ac4fca4-f7c2-4162-ae82-8745c368c253,-12635146.7717033,5961363.38119922
1094,Water (Potable),,Placid Lake,2,HANSEN GPS DATA,8/10/2015 12:00:00 AM,HANSEN,280895,,3ffebf7f-8fc3-477d-a956-73efadd49e26,-12635100.5201783,5961416.27255927
